cnf 10 8
w 26 12 14 17 15 12 15 1 13 1
6 -6 9 -3 -1 2 8
6 3 10 8 4 -1 2
6 4 5 10 -6 -1 -9
6 8 9 2 1 4 -5
6 -6 -1 2 -5 9 8
6 1 -9 10 3 -4 -7
6 -9 -8 -10 7 2 6
6 8 -2 -9 -4 -5 7
cnf 10 8
w 8 22 9 8 19 15 20 3 25 9
6 -6 9 -3 -1 2 8
6 3 10 8 4 -1 2
6 4 5 10 -6 -1 -9
6 8 9 2 1 4 -5
6 -6 -1 2 -5 9 8
6 1 -9 10 3 -4 -7
6 -9 -8 -10 7 2 6
6 8 -2 -9 -4 -5 7
cnf 10 8
w 15 7 27 17 20 5 15 25 3 10
6 -6 9 -3 -1 2 8
6 3 10 8 4 -1 2
6 4 5 10 -6 -1 -9
6 8 9 2 1 4 -5
6 -6 -1 2 -5 9 8
6 1 -9 10 3 -4 -7
6 -9 -8 -10 7 2 6
6 8 -2 -9 -4 -5 7
cnf 10 8
w 13 11 15 16 26 27 8 4 16 26
6 -6 9 -3 -1 2 8
6 3 10 8 4 -1 2
6 4 5 10 -6 -1 -9
6 8 9 2 1 4 -5
6 -6 -1 2 -5 9 8
6 1 -9 10 3 -4 -7
6 -9 -8 -10 7 2 6
6 8 -2 -9 -4 -5 7
cnf 10 8
w 2 4 3 6 8 14 3 3 6 18
6 -6 9 -3 -1 2 8
6 3 10 8 4 -1 2
6 4 5 10 -6 -1 -9
6 8 9 2 1 4 -5
6 -6 -1 2 -5 9 8
6 1 -9 10 3 -4 -7
6 -9 -8 -10 7 2 6
6 8 -2 -9 -4 -5 7
